temp,year,week,hour
-1,2013,7,14
0,2013,7,15
2,2013,7,16
4,2013,7,17
5,2013,7,18
6,2013,7,19
6,2013,7,20
7,2013,7,21
7,2013,7,22
6,2013,7,23
3,2013,7,0
2,2013,7,1
0,2013,7,2
0,2013,7,3
0,2013,7,4
0,2013,7,5
-1,2013,7,6
-1,2013,7,7
-1,2013,7,8
-2,2013,7,9
-2,2013,7,10
-2,2013,7,11
-3,2013,7,12
-1,2013,7,13
2,2013,7,14
5,2013,7,15
9,2013,7,16
11,2013,7,17
12,2013,7,18
13,2013,7,19
14,2013,7,20
14,2013,7,21
13,2013,7,22
12,2013,7,23
11,2013,7,0
10,2013,7,1
9,2013,7,2
9,2013,7,3
8,2013,7,4
5,2013,7,5
8,2013,7,6
8,2013,7,7
8,2013,7,8
6,2013,7,9
4,2013,7,10
4,2013,7,11
4,2013,7,12
4,2013,7,13
5,2013,7,14
6,2013,7,15
7,2013,7,16
9,2013,7,17
11,2013,7,18
12,2013,7,19
13,2013,7,20
12,2013,7,21
12,2013,7,22
10,2013,7,23
9,2013,7,0
7,2013,7,1
6,2013,7,2
5,2013,7,3
5,2013,7,4
3,2013,7,5
3,2013,7,6
2,2013,7,7
2,2013,7,8
1,2013,7,9
0,2013,7,10
0,2013,7,11
0,2013,7,12
0,2013,7,13
2,2013,7,14
4,2013,7,15
7,2013,7,16
8,2013,7,17
9,2013,7,18
9,2013,7,19
9,2013,7,20
8,2013,7,21
8,2013,7,22
6,2013,7,23
5,2013,7,0
4,2013,7,1
4,2013,7,2
4,2013,7,3
3,2013,7,4
3,2013,7,5
2,2013,7,6
2,2013,7,7
1,2013,7,8
1,2013,7,9
1,2013,7,10
0,2013,7,11
0,2013,7,12
0,2013,7,13
4,2013,7,14
7,2013,7,15
10,2013,7,16
12,2013,7,17
15,2013,7,18
16,2013,7,19
17,2013,7,20
17,2013,7,21
16,2013,7,22
15,2013,7,23
15,2013,7,0
14,2013,7,1
14,2013,7,2
13,2013,7,3
11,2013,7,4
9,2013,7,5
7,2013,7,6
6,2013,7,7
6,2013,7,8
6,2013,7,9
6,2013,7,10
6,2013,7,11
6,2013,7,12
5,2013,7,13
5,2013,7,14
5,2013,7,15
5,2013,7,16
5,2013,7,17
5,2013,7,18
5,2013,7,19
5,2013,7,20
5,2013,7,21
5,2013,7,22
5,2013,7,23
5,2013,7,0
5,2013,7,1
5,2013,7,2
5,2013,7,3
5,2013,7,4
5,2013,7,5
5,2013,7,6
5,2013,7,7
5,2013,7,8
5,2013,7,9
5,2013,7,10
5,2013,7,11
5,2013,7,12
6,2013,7,13
6,2013,7,14
7,2013,7,15
7,2013,7,16
8,2013,7,17
9,2013,7,18
9,2013,7,19
10,2013,7,20
10,2013,7,21
10,2013,7,22
10,2013,7,23
9,2013,8,0
9,2013,8,1
9,2013,8,2
9,2013,8,3
9,2013,8,4
8,2013,8,5
8,2013,8,6
7,2013,8,7
7,2013,8,8
6,2013,8,9
5,2013,8,10
4,2013,8,11
3,2013,8,12
4,2013,8,13
5,2013,8,14
9,2013,8,15
11,2013,8,16
13,2013,8,17
15,2013,8,18
12,2013,8,19
16,2013,8,20
16,2013,8,21
16,2013,8,22
14,2013,8,23
11,2013,8,0
9,2013,8,1
8,2013,8,2
6,2013,8,3
5,2013,8,4
4,2013,8,5
4,2013,8,6
4,2013,8,7
5,2013,8,8
5,2013,8,9
5,2013,8,10
6,2013,8,11
7,2013,8,12
7,2013,8,13
8,2013,8,14
8,2013,8,15
8,2013,8,16
8,2013,8,17
8,2013,8,18
9,2013,8,19
9,2013,8,20
9,2013,8,21
9,2013,8,22
8,2013,8,23
7,2013,8,0
7,2013,8,1
6,2013,8,2
5,2013,8,3
5,2013,8,4
4,2013,8,5
4,2013,8,6
3,2013,8,7
3,2013,8,8
3,2013,8,9
3,2013,8,10
3,2013,8,11
3,2013,8,12
3,2013,8,13
3,2013,8,14
4,2013,8,15
4,2013,8,16
5,2013,8,17
6,2013,8,18
7,2013,8,19
8,2013,8,20
9,2013,8,21
10,2013,8,22
9,2013,8,23
8,2013,8,0
7,2013,8,1
7,2013,8,2
7,2013,8,3
6,2013,8,4
6,2013,8,5
6,2013,8,6
6,2013,8,7
5,2013,8,8
5,2013,8,9
5,2013,8,10
5,2013,8,11
5,2013,8,12
5,2013,8,13
5,2013,8,14
6,2013,8,15
6,2013,8,16
7,2013,8,17
11,2013,8,18
13,2013,8,19
14,2013,8,20
15,2013,8,21
14,2013,8,22
13,2013,8,23
11,2013,8,0
11,2013,8,1
10,2013,8,2
10,2013,8,3
9,2013,8,4
8,2013,8,5
7,2013,8,6
6,2013,8,7
5,2013,8,8
4,2013,8,9
3,2013,8,10
2,2013,8,11
2,2013,8,12
3,2013,8,13
4,2013,8,14
5,2013,8,15
6,2013,8,16
7,2013,8,17
7,2013,8,18
7,2013,8,19
7,2013,8,20
